Time (s),TX Value,Duty Cycle,Reconstructed Value,Poll Samples
0.375000,-1.000000,0.001001,-0.997999,11992
0.376000,-0.951057,0.021938,-0.956125,11943
0.377000,-0.809017,0.081880,-0.836240,11810
0.378000,-0.587785,0.183525,-0.632950,11666
0.379000,-0.309017,0.312615,-0.374771,11455
0.380000,0.000000,0.460853,-0.078293,11227
0.381000,0.309017,0.620356,0.240712,10955
0.382000,0.587785,0.760894,0.521788,10786
0.383000,0.809017,0.878740,0.757480,11397
0.384000,0.951057,0.967916,0.935833,10535
0.385000,1.000000,0.998660,0.997320,10448
0.386000,0.951057,0.974198,0.948396,10503
0.387000,0.809017,0.894146,0.788293,10609
0.388000,0.587785,0.779581,0.559162,10784
0.389000,0.309017,0.635146,0.270292,10977
0.390000,-0.000000,0.464983,-0.070033,11209
0.391000,-0.309017,0.320858,-0.358284,11329
0.392000,-0.587785,0.195716,-0.608568,11578
0.393000,-0.809017,0.085852,-0.828296,11846
0.394000,-0.951057,0.020915,-0.958169,11953
0.395000,-1.000000,0.001001,-0.997998,11987
0.396000,-0.951057,0.021972,-0.956055,11924
0.397000,-0.809017,0.081971,-0.836057,11870
0.398000,-0.587785,0.187954,-0.624091,11689
0.399000,-0.309017,0.305892,-0.388217,11491
0.400000,0.000000,0.468689,-0.062623,11210
0.401000,0.309017,0.616856,0.233712,10928
0.402000,0.587785,0.762516,0.525031,10367
0.403000,0.809017,0.889442,0.778885,21075
0.404000,0.951057,0.967257,0.934513,9773
0.405000,1.000000,0.998875,0.997749,9774
0.406000,0.951057,0.973133,0.946266,10310
0.407000,0.809017,0.899783,0.799567,10158
0.408000,0.587785,0.783092,0.566183,9723
0.409000,0.309017,0.640965,0.281930,10155
0.410000,-0.000000,0.478762,-0.042475,10665
0.411000,-0.309017,0.323921,-0.352159,10447
0.412000,-0.587785,0.189635,-0.620729,10420
0.413000,-0.809017,0.087799,-0.824402,11196
0.414000,-0.951057,0.024783,-0.950434,11984
0.415000,-1.000000,0.000000,-1.000000,11950
0.416000,-0.951057,0.021406,-0.957188,11679
0.417000,-0.809017,0.081624,-0.836752,11896
0.418000,-0.587785,0.182999,-0.634003,11705
0.419000,-0.309017,0.305904,-0.388192,11484
0.420000,0.000000,0.465984,-0.068032,11230
0.421000,0.309017,0.616850,0.233699,11027
0.422000,0.587785,0.759774,0.519548,10794
0.423000,0.809017,0.889674,0.779348,10614
0.424000,0.951057,0.964190,0.928380,10472
0.425000,1.000000,0.998663,0.997325,10469
0.426000,0.951057,0.974193,0.948386,10501
0.427000,0.809017,0.894483,0.788967,10586
0.428000,0.587785,0.773239,0.546478,10747
0.429000,0.309017,0.626524,0.253047,10994
0.430000,-0.000000,0.481224,-0.037552,11211
0.431000,-0.309017,0.322241,-0.355518,11389
0.432000,-0.587785,0.179733,-0.640534,11684
0.433000,-0.809017,0.089809,-0.820383,11814
0.434000,-0.951057,0.021585,-0.956830,11860
0.435000,-1.000000,0.000000,-1.000000,11933
0.436000,-0.951057,0.020699,-0.958602,11933
0.437000,-0.809017,0.082624,-0.834753,11861
0.438000,-0.587785,0.182138,-0.635725,11667
0.439000,-0.309017,0.313343,-0.373315,11422
0.440000,0.000000,0.461853,-0.076293,11233
0.441000,0.309017,0.610359,0.220718,11005
0.442000,0.587785,0.769710,0.539420,10756
0.443000,0.809017,0.885122,0.770245,10620
0.444000,0.951057,0.969166,0.938333,10508
0.445000,1.000000,0.997420,0.994840,10466
0.446000,0.951057,0.972823,0.945647,10487
0.447000,0.809017,0.899274,0.798549,10613
0.448000,0.587785,0.778541,0.557082,10774
0.449000,0.309017,0.623670,0.247339,10993
0.450000,-0.000000,0.475714,-0.048571,11200
0.451000,-0.309017,0.326495,-0.347010,11504
0.452000,-0.587785,0.186816,-0.626368,11696
0.453000,-0.809017,0.083164,-0.833672,11820
0.454000,-0.951057,0.024852,-0.950296,11991
0.455000,-1.000000,0.000000,-1.000000,12032
0.456000,-0.951057,0.021033,-0.957933,11981
0.457000,-0.809017,0.082940,-0.834121,11852
0.458000,-0.587785,0.181159,-0.637682,11719
0.459000,-0.309017,0.312109,-0.375783,11496
0.460000,0.000000,0.465339,-0.069321,11252
0.461000,0.309017,0.609667,0.219335,11006
0.462000,0.587785,0.768497,0.536994,10799
0.463000,0.809017,0.884395,0.768789,10631
0.464000,0.951057,0.968570,0.937140,10404
0.465000,1.000000,0.997326,0.994651,10470
0.466000,0.951057,0.972947,0.945895,10535
0.467000,0.809017,0.899248,0.798496,10640
0.468000,0.587785,0.777095,0.554190,10740
0.469000,0.309017,0.623682,0.247365,11004
0.470000,-0.000000,0.477242,-0.045515,11227
0.471000,-0.309017,0.327488,-0.345023,11463
0.472000,-0.587785,0.179916,-0.640168,11661
0.473000,-0.809017,0.090311,-0.819378,11859
0.474000,-0.951057,0.022053,-0.955893,11971
0.475000,-1.000000,0.000000,-1.000000,12009
0.476000,-0.951057,0.021034,-0.957932,11933
0.477000,-0.809017,0.085864,-0.828273,11856
0.478000,-0.587785,0.173576,-0.652849,12496
0.479000,-0.309017,0.314161,-0.371678,11440
0.480000,0.000000,0.459539,-0.080922,11233
0.481000,0.309017,0.617056,0.234112,10999
0.482000,0.587785,0.759896,0.519792,10787
0.483000,0.809017,0.889410,0.778820,10444
0.484000,0.951057,0.967597,0.935195,10493
0.485000,1.000000,0.998751,0.997503,10411
0.486000,0.951057,0.974420,0.948839,10555
0.487000,0.809017,0.897409,0.794818,10576
0.488000,0.587785,0.772946,0.545893,10786
0.489000,0.309017,0.633130,0.266260,10993
0.490000,-0.000000,0.477777,-0.044447,10147
0.491000,-0.309017,0.331567,-0.336866,10191
0.492000,-0.587785,0.191400,-0.617200,11698
0.493000,-0.809017,0.089641,-0.820718,11758
0.494000,-0.951057,0.022122,-0.955755,11572
0.495000,-1.000000,0.000000,-1.000000,11814
0.496000,-0.951057,0.020429,-0.959142,11650
0.497000,-0.809017,0.084166,-0.831667,11703
0.498000,-0.587785,0.177423,-0.645155,9700
0.499000,-0.309017,0.310847,-0.378306,10777
0.500000,0.000000,0.456382,-0.087236,10741
0.501000,0.309017,0.632381,0.264762,9975
0.502000,0.587785,0.763041,0.526081,10314
0.503000,0.809017,0.891023,0.782045,10415
0.504000,0.951057,0.965021,0.930042,10349
0.505000,1.000000,0.999238,0.998475,18363
0.506000,0.951057,0.972954,0.945907,11203
0.507000,0.809017,0.894686,0.789371,9258
0.508000,0.587785,0.789079,0.578158,9871
0.509000,0.309017,0.628146,0.256291,10133
0.510000,-0.000000,0.479322,-0.041355,11099
0.511000,-0.309017,0.322278,-0.355444,11307
0.512000,-0.587785,0.191709,-0.616581,11314
0.513000,-0.809017,0.089821,-0.820357,11868
0.514000,-0.951057,0.025110,-0.949780,11589
0.515000,-1.000000,0.000000,-1.000000,11943
0.516000,-0.951057,0.020919,-0.958162,11951
0.517000,-0.809017,0.082610,-0.834780,11524
0.518000,-0.587785,0.187278,-0.625445,11523
0.519000,-0.309017,0.303404,-0.393191,11015
0.520000,0.000000,0.463342,-0.073315,11130
0.521000,0.309017,0.605813,0.211625,10632
0.522000,0.587785,0.764008,0.528016,9441
0.523000,0.809017,0.890988,0.781976,9476
0.524000,0.951057,0.965750,0.931500,10219
0.525000,1.000000,0.997770,0.995541,10316
0.526000,0.951057,0.973933,0.947866,10051
0.527000,0.809017,0.895539,0.791077,10109
0.528000,0.587785,0.785248,0.570496,7660
0.529000,0.309017,0.631688,0.263376,10597
0.530000,-0.000000,0.478099,-0.043801,11301
0.531000,-0.309017,0.313777,-0.372446,11454
0.532000,-0.587785,0.188920,-0.622160,11444
0.533000,-0.809017,0.090497,-0.819006,11249
0.534000,-0.951057,0.025939,-0.948122,10756
0.535000,-1.000000,0.000000,-1.000000,11204
0.536000,-0.951057,0.021797,-0.956406,11240
0.537000,-0.809017,0.078388,-0.843223,9555
0.538000,-0.587785,0.188746,-0.622509,11089
0.539000,-0.309017,0.313670,-0.372661,11222
0.540000,0.000000,0.463225,-0.073551,11040
0.541000,0.309017,0.612652,0.225304,11034
0.542000,0.587785,0.770405,0.540811,10610
0.543000,0.809017,0.878423,0.756846,10553
0.544000,0.951057,0.968364,0.936728,10368
0.545000,1.000000,0.998545,0.997089,8245
0.546000,0.951057,0.974748,0.949496,10217
0.547000,0.809017,0.894119,0.788238,10389
0.548000,0.587785,0.774370,0.548740,10792
0.549000,0.309017,0.640593,0.281187,10854
0.550000,-0.000000,0.467549,-0.064902,10955
0.551000,-0.309017,0.326260,-0.347480,10792
0.552000,-0.587785,0.185868,-0.628264,11605
0.553000,-0.809017,0.083454,-0.833092,11743
0.554000,-0.951057,0.021721,-0.956559,11694
0.555000,-1.000000,0.000000,-1.000000,11569
0.556000,-0.951057,0.021570,-0.956859,11590
0.557000,-0.809017,0.082735,-0.834531,14057
0.558000,-0.587785,0.183868,-0.632263,10154
0.559000,-0.309017,0.306778,-0.386445,10933
0.560000,0.000000,0.474461,-0.051079,9084
0.561000,0.309017,0.614139,0.228278,10312
0.562000,0.587785,0.770530,0.541061,10180
0.563000,0.809017,0.884641,0.769282,10489
0.564000,0.951057,0.968656,0.937312,10624
0.565000,1.000000,0.998583,0.997166,9880
0.566000,0.951057,0.973671,0.947342,9989
0.567000,0.809017,0.895818,0.791635,10616
0.568000,0.587785,0.782323,0.564645,10635
0.569000,0.309017,0.629599,0.259199,10980
0.570000,-0.000000,0.464117,-0.071765,11245
0.571000,-0.309017,0.326287,-0.347425,11496
0.572000,-0.587785,0.189389,-0.621221,11611
0.573000,-0.809017,0.090652,-0.818696,12719
0.574000,-0.951057,0.024686,-0.950628,11626
